Florida, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,55.4,-3.4
189612,56.4,-2.4
189712,59.0,0.2
189812,56.5,-2.3
189912,57.6,-1.2
190012,57.3,-1.5
190112,55.6,-3.2
190212,59.2,0.4
190312,52.2,-6.6
190412,57.0,-1.8
190512,57.3,-1.5
190612,58.6,-0.2
190712,57.8,-1.0
190812,61.9,3.1
190912,54.4,-4.4
191012,52.1,-6.7
191112,61.8,3.0
191212,61.6,2.8
191312,59.0,0.2
191412,57.6,-1.2
191512,54.8,-4.0
191612,59.0,0.2
191712,52.9,-5.9
191812,58.9,0.1
191912,58.8,0.0
192012,57.1,-1.7
192112,61.6,2.8
192212,63.1,4.3
192312,62.8,4.0
192412,61.2,2.4
192512,56.6,-2.2
192612,62.2,3.4
192712,57.3,-1.5
192812,57.4,-1.4
192912,56.8,-2.0
193012,53.4,-5.4
193112,67.8,9.0
193212,62.8,4.0
193312,61.9,3.1
193412,57.5,-1.3
193512,50.8,-8.0
193612,60.4,1.6
193712,56.1,-2.7
193812,57.1,-1.7
193912,57.6,-1.2
194012,62.5,3.7
194112,61.7,2.9
194212,60.7,1.9
194312,57.8,-1.0
194412,55.2,-3.6
194512,55.9,-2.9
194612,62.5,3.7
194712,60.5,1.7
194812,64.2,5.4
194912,62.2,3.4
195012,54.7,-4.1
195112,62.9,4.1
195212,56.6,-2.2
195312,60.2,1.4
195412,55.2,-3.6
195512,58.7,-0.1
195612,62.4,3.6
195712,56.9,-1.9
195812,57.8,-1.0
195912,57.6,-1.2
196012,54.3,-4.5
196112,60.2,1.4
196212,55.2,-3.6
196312,52.3,-6.5
196412,61.9,3.1
196512,58.5,-0.3
196612,56.9,-1.9
196712,62.9,4.1
196812,55.8,-3.0
196912,55.6,-3.2
197012,60.2,1.4
197112,66.4,7.6
197212,62.1,3.3
197312,57.0,-1.8
197412,58.4,-0.4
197512,57.6,-1.2
197612,56.5,-2.3
197712,57.5,-1.3
197812,62.2,3.4
197912,58.9,0.1
198012,55.8,-3.0
198112,56.9,-1.9
198212,63.6,4.8
198312,58.5,-0.3
198412,64.3,5.5
198512,56.3,-2.5
198612,62.6,3.8
198712,61.2,2.4
198812,59.1,0.3
198912,52.6,-6.2
199012,63.1,4.3
199112,62.1,3.3
199212,60.6,1.8
199312,56.2,-2.6
199412,61.8,3.0
199512,57.3,-1.5
199612,60.0,1.2
199712,58.9,0.1
199812,64.6,5.8
199912,59.0,0.2
200012,56.7,-2.1
200112,64.1,5.3
200212,57.3,-1.5
200312,56.1,-2.7
200412,58.0,-0.8
200512,57.0,-1.8
200612,64.2,5.4
200712,64.4,5.6
200812,62.0,3.2
200912,60.4,1.6
201012,50.1,-8.7
201112,62.8,4.0
201212,62.0,3.2
201312,64.7,5.9
201412,61.9,3.1
201512,69.6,10.8
201612,65.9,7.1
201712,61.7,2.9
201812,61.8,3.0
201912,63.9,5.1
202012,57.6,-1.2
202112,66.5,7.7
202212,61.6,2.8
