Florida, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,90.0,-0.7
189607,90.4,-0.3
189707,90.9,0.2
189807,90.7,0.0
189907,89.7,-1.0
190007,91.5,0.8
190107,90.8,0.1
190207,92.7,2.0
190307,90.7,0.0
190407,90.2,-0.5
190507,91.0,0.3
190607,89.1,-1.6
190707,90.5,-0.2
190807,90.6,-0.1
190907,89.2,-1.5
191007,88.9,-1.8
191107,89.7,-1.0
191207,90.2,-0.5
191307,91.4,0.7
191407,90.9,0.2
191507,91.3,0.6
191607,88.9,-1.8
191707,90.0,-0.7
191807,89.9,-0.8
191907,89.5,-1.2
192007,89.8,-0.9
192107,89.0,-1.7
192207,89.8,-0.9
192307,88.8,-1.9
192407,90.3,-0.4
192507,90.4,-0.3
192607,89.7,-1.0
192707,91.4,0.7
192807,90.7,0.0
192907,89.3,-1.4
193007,91.7,1.0
193107,92.6,1.9
193207,93.6,2.9
193307,89.6,-1.1
193407,90.7,0.0
193507,89.2,-1.5
193607,91.1,0.4
193707,90.2,-0.5
193807,89.2,-1.5
193907,90.4,-0.3
194007,90.7,0.0
194107,89.8,-0.9
194207,93.1,2.4
194307,90.7,0.0
194407,90.2,-0.5
194507,89.4,-1.3
194607,90.0,-0.7
194707,88.7,-2.0
194807,90.2,-0.5
194907,90.4,-0.3
195007,89.5,-1.2
195107,91.4,0.7
195207,92.1,1.4
195307,91.0,0.3
195407,91.1,0.4
195507,90.3,-0.4
195607,91.0,0.3
195707,91.1,0.4
195807,90.8,0.1
195907,90.1,-0.6
196007,90.9,0.2
196107,91.3,0.6
196207,92.2,1.5
196307,91.0,0.3
196407,89.6,-1.1
196507,89.3,-1.4
196607,90.7,0.0
196707,89.8,-0.9
196807,90.2,-0.5
196907,91.7,1.0
197007,91.1,0.4
197107,90.4,-0.3
197207,90.7,0.0
197307,91.2,0.5
197407,89.6,-1.1
197507,89.0,-1.7
197607,91.2,0.5
197707,92.0,1.3
197807,90.5,-0.2
197907,91.9,1.2
198007,92.6,1.9
198107,93.3,2.6
198207,90.6,-0.1
198307,92.4,1.7
198407,89.4,-1.3
198507,90.2,-0.5
198607,92.1,1.4
198707,92.4,1.7
198807,90.6,-0.1
198907,91.2,0.5
199007,91.8,1.1
199107,90.8,0.1
199207,92.6,1.9
199307,92.8,2.1
199407,89.9,-0.8
199507,91.9,1.2
199607,91.5,0.8
199707,91.7,1.0
199807,93.3,2.6
199907,91.7,1.0
200007,92.5,1.8
200107,90.2,-0.5
200207,90.7,0.0
200307,90.3,-0.4
200407,91.5,0.8
200507,91.9,1.2
200607,91.8,1.1
200707,91.9,1.2
200807,90.4,-0.3
200907,90.9,0.2
201007,92.4,1.7
201107,91.9,1.2
201207,91.8,1.1
201307,88.9,-1.8
201407,91.1,0.4
201507,92.2,1.5
201607,93.8,3.1
201707,91.6,0.9
201807,91.2,0.5
201907,92.0,1.3
202007,92.1,1.4
202107,90.2,-0.5
202207,92.0,1.3
