Florida, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,66.8,-3.1
189612,66.8,-3.1
189712,69.9,0.0
189812,66.3,-3.6
189912,68.6,-1.3
190012,66.9,-3.0
190112,67.0,-2.9
190212,70.2,0.3
190312,65.4,-4.5
190412,68.3,-1.6
190512,66.8,-3.1
190612,70.5,0.6
190712,68.5,-1.4
190812,73.5,3.6
190912,66.2,-3.7
191012,64.5,-5.4
191112,72.1,2.2
191212,71.4,1.5
191312,69.1,-0.8
191412,66.5,-3.4
191512,67.1,-2.8
191612,70.3,0.4
191712,64.6,-5.3
191812,68.5,-1.4
191912,70.1,0.2
192012,68.3,-1.6
192112,72.9,3.0
192212,73.7,3.8
192312,73.3,3.4
192412,71.6,1.7
192512,67.0,-2.9
192612,73.4,3.5
192712,68.2,-1.7
192812,68.6,-1.3
192912,68.4,-1.5
193012,63.1,-6.8
193112,77.5,7.6
193212,73.5,3.6
193312,74.3,4.4
193412,69.2,-0.7
193512,62.6,-7.3
193612,70.3,0.4
193712,67.2,-2.7
193812,69.5,-0.4
193912,70.4,0.5
194012,72.4,2.5
194112,71.7,1.8
194212,72.2,2.3
194312,70.1,0.2
194412,67.4,-2.5
194512,67.2,-2.7
194612,74.1,4.2
194712,70.4,0.5
194812,74.4,4.5
194912,72.9,3.0
195012,66.4,-3.5
195112,73.5,3.6
195212,68.6,-1.3
195312,69.9,0.0
195412,67.7,-2.2
195512,69.5,-0.4
195612,74.5,4.6
195712,68.6,-1.3
195812,68.2,-1.7
195912,68.3,-1.6
196012,66.4,-3.5
196112,71.8,1.9
196212,67.2,-2.7
196312,64.0,-5.9
196412,72.0,2.1
196512,70.1,0.2
196612,68.4,-1.5
196712,73.8,3.9
196812,68.4,-1.5
196912,67.7,-2.2
197012,73.2,3.3
197112,76.2,6.3
197212,72.8,2.9
197312,68.6,-1.3
197412,69.6,-0.3
197512,69.8,-0.1
197612,67.3,-2.6
197712,68.6,-1.3
197812,73.2,3.3
197912,69.5,-0.4
198012,67.8,-2.1
198112,68.9,-1.0
198212,73.7,3.8
198312,68.8,-1.1
198412,75.8,5.9
198512,68.1,-1.8
198612,71.3,1.4
198712,72.4,2.5
198812,71.3,1.4
198912,64.5,-5.4
199012,74.5,4.6
199112,73.1,3.2
199212,71.3,1.4
199312,68.1,-1.8
199412,71.1,1.2
199512,68.2,-1.7
199612,71.6,1.7
199712,68.6,-1.3
199812,75.0,5.1
199912,70.3,0.4
200012,68.4,-1.5
200112,74.5,4.6
200212,68.7,-1.2
200312,68.4,-1.5
200412,69.0,-0.9
200512,68.1,-1.8
200612,74.1,4.2
200712,75.2,5.3
200812,73.1,3.2
200912,69.9,0.0
201012,63.1,-6.8
201112,73.5,3.6
201212,73.4,3.5
201312,74.9,5.0
201412,72.4,2.5
201512,78.3,8.4
201612,76.3,6.4
201712,72.3,2.4
201812,71.6,1.7
201912,73.8,3.9
202012,69.4,-0.5
202112,77.0,7.1
202212,71.9,2.0
